fato_financeiro_sk,produto_sk,geografia_sk,segmento_sk,desconto_sk,tempo_sk,unidades_vendidas,receita_liquida,custo_produtos_vendidos,lucro
224,1,3,3,,154,1865.0,21261.0,5595.0,15666.0
225,1,2,3,,154,1116.0,12722.4,3348.0,9374.4
226,1,3,1,,243,1563.0,29697.0,15630.0,14067.0
227,1,5,5,,274,991.0,282435.0,247750.0,34685.0
228,1,2,1,,62,1016.0,6756.4,5080.0,1676.4
229,1,4,2,,427,2791.0,39771.75,27910.0,11861.75
230,1,5,1,,457,570.0,3790.5,2850.0,940.5
231,1,3,1,,457,2487.0,16538.55,12435.0,4103.55
232,2,3,1,,123,1384.5,460346.25,359970.0,100376.25
233,2,5,4,,304,3627.0,430706.25,435240.0,-4533.75
234,2,4,1,,1,720.0,239400.0,187200.0,52200.0
235,2,2,3,,427,2342.0,26698.8,7026.0,19672.8
236,2,4,5,,92,1100.0,313500.0,275000.0,38500.0
237,3,3,1,,154,1303.0,24757.0,13030.0,11727.0
238,3,5,4,,182,2992.0,355300.0,359040.0,-3740.0
239,3,3,4,,182,2385.0,283218.75,286200.0,-2981.25
240,3,4,5,,213,1607.0,457995.0,401750.0,56245.0
241,3,5,1,,243,2327.0,15474.55,11635.0,3839.55
242,3,5,5,,274,991.0,282435.0,247750.0,34685.0
243,3,5,1,,274,602.0,200165.0,156520.0,43645.0
244,3,3,2,,366,2620.0,37335.0,26200.0,11135.0
245,3,1,1,,31,1228.0,408310.0,319280.0,89030.0
246,3,1,1,,31,1389.0,26391.0,13890.0,12501.0
247,3,5,4,,396,861.0,102243.75,103320.0,-1076.25
248,3,3,4,,31,704.0,83600.0,84480.0,-880.0
249,3,1,1,,92,1802.0,34238.0,18020.0,16218.0
250,3,5,1,,457,2663.0,50597.0,26630.0,23967.0
251,3,3,1,,92,2136.0,14204.4,10680.0,3524.4
252,3,2,2,,92,2116.0,30153.0,21160.0,8993.0
253,4,5,2,,123,555.0,7908.75,5550.0,2358.75
254,4,4,2,,123,2861.0,40769.25,28610.0,12159.25
255,4,2,4,,154,807.0,95831.25,96840.0,-1008.75
256,4,5,1,,274,602.0,200165.0,156520.0,43645.0
257,4,5,1,,335,2832.0,53808.0,28320.0,25488.0
258,4,3,1,,335,1579.0,30001.0,15790.0,14211.0
259,4,5,4,,396,861.0,102243.75,103320.0,-1076.25
260,4,3,4,,31,704.0,83600.0,84480.0,-880.0
261,4,3,1,,92,1033.0,19627.0,10330.0,9297.0
262,4,2,5,,457,1250.0,356250.0,312500.0,43750.0
263,5,1,1,,31,1389.0,26391.0,13890.0,12501.0
264,5,5,1,,62,1265.0,24035.0,12650.0,11385.0
265,5,2,1,,62,2297.0,43643.0,22970.0,20673.0
266,5,5,1,,457,2663.0,50597.0,26630.0,23967.0
267,5,5,1,,457,570.0,3790.5,2850.0,940.5
268,5,3,1,,457,2487.0,16538.55,12435.0,4103.55
269,6,2,1,,154,1350.0,448875.0,351000.0,97875.0
270,6,1,1,,335,552.0,183540.0,143520.0,40020.0
271,6,1,1,,31,1228.0,408310.0,319280.0,89030.0
272,6,2,5,,457,1250.0,356250.0,312500.0,43750.0
273,3,3,2,,213,3801.0,53594.1,38010.0,15584.1
274,1,5,1,,123,1117.5,21009.0,11175.0,9834.0
275,1,1,2,,274,2844.0,40100.4,28440.0,11660.4
276,1,4,3,,366,562.0,6339.36,1686.0,4653.36
277,1,1,3,,31,2299.0,25932.72,6897.0,19035.72
278,1,5,2,,427,2030.0,28623.0,20300.0,8323.0
279,1,5,1,,62,263.0,1730.54,1315.0,415.54
280,1,2,4,,92,887.0,104222.5,106440.0,-2217.5
281,2,4,1,,213,980.0,322420.0,254800.0,67620.0
282,2,2,1,,243,1460.0,480340.0,379600.0,100740.0
283,2,3,1,,31,1403.0,9231.74,7015.0,2216.74
284,2,5,3,,427,2723.0,30715.44,8169.0,22546.44
285,3,3,1,,274,1496.0,492184.0,388960.0,103224.0
286,3,1,3,,31,2299.0,25932.72,6897.0,19035.72
287,3,5,1,,31,727.0,239183.0,189020.0,50163.0
288,4,1,4,,154,952.0,111860.0,114240.0,-2380.0
289,4,5,4,,154,2755.0,323712.5,330600.0,-6887.5
290,4,2,2,,243,1530.0,21573.0,15300.0,6273.0
291,4,3,1,,274,1496.0,492184.0,388960.0,103224.0
292,4,4,1,,274,1498.0,9856.84,7490.0,2366.84
293,4,3,5,,31,1221.0,344322.0,305250.0,39072.0
294,4,3,1,,31,2076.0,683004.0,539760.0,143244.0
295,5,1,2,,274,2844.0,40100.4,28440.0,11660.4
296,5,4,1,,274,1498.0,9856.84,7490.0,2366.84
297,5,3,5,,31,1221.0,344322.0,305250.0,39072.0
298,5,4,1,,62,1123.0,21112.4,11230.0,9882.4
299,5,1,5,,92,2436.0,686952.0,609000.0,77952.0
300,6,3,4,,123,1987.5,233531.25,238500.0,-4968.75
301,6,4,1,,366,1679.0,552391.0,436540.0,115851.0
302,6,5,1,,31,727.0,239183.0,189020.0,50163.0
303,6,3,1,,31,1403.0,9231.74,7015.0,2216.74
304,6,3,1,,31,2076.0,683004.0,539760.0,143244.0
305,2,3,1,,31,1757.0,33031.6,17570.0,15461.6
306,3,5,2,,335,2198.0,30991.8,21980.0,9011.8
307,3,2,2,,335,1743.0,24576.3,17430.0,7146.3
308,3,5,2,,396,1153.0,16257.3,11530.0,4727.3
309,3,3,1,,31,1757.0,33031.6,17570.0,15461.6
310,4,2,1,,335,1001.0,18818.8,10010.0,8808.8
311,4,4,1,,427,1333.0,8771.14,6665.0,2106.14
312,5,5,2,,396,1153.0,16257.3,11530.0,4727.3
313,1,4,3,,154,727.0,8113.32,2181.0,5932.32
314,1,1,3,,335,1884.0,21025.44,5652.0,15373.44
315,1,4,1,,1,1834.0,34112.4,18340.0,15772.4
316,2,4,3,,123,2340.0,26114.4,7020.0,19094.4
317,2,3,3,,427,2342.0,26136.72,7026.0,19110.72
318,3,3,1,,1,1031.0,6711.81,5155.0,1556.81
319,4,1,2,,243,1262.0,17604.9,12620.0,4984.9
320,4,1,1,,274,1135.0,7388.85,5675.0,1713.85
321,4,5,1,,427,547.0,3560.97,2735.0,825.97
322,4,1,1,,457,1582.0,10298.82,7910.0,2388.82
323,5,3,3,,213,1738.5,19401.66,5215.5,14186.16
324,5,2,3,,1,2215.0,24719.4,6645.0,18074.4
325,5,1,1,,457,1582.0,10298.82,7910.0,2388.82
326,6,1,1,,274,1135.0,7388.85,5675.0,1713.85
327,1,5,1,,182,1761.0,573205.5,457860.0,115345.5
328,1,3,5,,274,448.0,124992.0,112000.0,12992.0
329,1,3,5,,396,2181.0,608499.0,545250.0,63249.0
330,2,3,1,,396,1976.0,36753.6,19760.0,16993.6
331,2,3,5,,396,2181.0,608499.0,545250.0,63249.0
332,2,2,4,,62,2500.0,290625.0,300000.0,-9375.0
333,3,1,5,,243,1702.0,474858.0,425500.0,49358.0
334,3,3,5,,274,448.0,124992.0,112000.0,12992.0
335,3,2,4,,304,3513.0,408386.25,421560.0,-13173.75
336,3,3,2,,335,2101.0,29308.95,21010.0,8298.95
337,3,5,2,,1,2931.0,40887.45,29310.0,11577.45
338,3,3,1,,366,1535.0,28551.0,15350.0,13201.0
339,3,2,5,,1,1123.0,313317.0,280750.0,32567.0
340,3,1,5,,62,1404.0,391716.0,351000.0,40716.0
341,3,4,3,,62,2763.0,30835.08,8289.0,22546.08
342,3,2,1,,92,2125.0,13833.75,10625.0,3208.75
343,4,3,5,,304,1659.0,462861.0,414750.0,48111.0
344,4,4,1,,335,609.0,11327.4,6090.0,5237.4
345,4,2,4,,366,2087.0,242613.75,250440.0,-7826.25
346,4,3,1,,396,1976.0,36753.6,19760.0,16993.6
347,4,5,1,,92,1421.0,26430.6,14210.0,12220.6
348,4,5,5,,457,1372.0,382788.0,343000.0,39788.0
349,4,2,1,,92,588.0,10936.8,5880.0,5056.8
350,5,1,3,,123,3244.5,36208.62,9733.5,26475.12
351,5,3,5,,154,959.0,267561.0,239750.0,27811.0
352,5,4,5,,154,2747.0,766413.0,686750.0,79663.0
353,6,1,4,,243,1645.0,191231.25,197400.0,-6168.75
354,6,3,1,,366,2876.0,936138.0,747760.0,188378.0
355,6,2,4,,1,994.0,115552.5,119280.0,-3727.5
356,6,1,1,,427,1118.0,20794.8,11180.0,9614.8
357,6,5,5,,457,1372.0,382788.0,343000.0,39788.0
358,2,1,1,,154,488.0,3142.72,2440.0,702.72
359,2,5,1,,274,1282.0,23588.8,12820.0,10768.8
360,3,1,1,,243,257.0,1655.08,1285.0,370.08
361,6,5,1,,274,1282.0,23588.8,12820.0,10768.8
362,1,4,4,,335,1540.0,177100.0,184800.0,-7700.0
363,1,3,2,,427,490.0,6762.0,4900.0,1862.0
364,1,4,1,,457,1362.0,438564.0,354120.0,84444.0
365,2,3,2,,182,2501.0,34513.8,25010.0,9503.8
366,2,1,1,,274,708.0,13027.2,7080.0,5947.2
367,2,2,1,,304,645.0,11868.0,6450.0,5418.0
368,2,3,5,,335,1562.0,431112.0,390500.0,40612.0
369,2,1,5,,1,1283.0,354108.0,320750.0,33358.0
370,2,2,2,,457,711.0,9811.8,7110.0,2701.8
371,3,4,4,,182,1114.0,128110.0,133680.0,-5570.0
372,3,2,1,,213,1259.0,8107.96,6295.0,1812.96
373,3,2,1,,243,1095.0,7051.8,5475.0,1576.8
374,3,2,1,,274,1366.0,25134.4,13660.0,11474.4
375,3,4,5,,274,2460.0,678960.0,615000.0,63960.0
376,3,5,1,,335,678.0,4366.32,3390.0,976.32
377,3,2,1,,335,1598.0,10291.12,7990.0,2301.12
378,3,2,1,,1,2409.0,15513.96,12045.0,3468.96
379,3,2,1,,366,1934.0,35585.6,19340.0,16245.6
380,3,4,1,,366,2993.0,55071.2,29930.0,25141.2
381,3,2,1,,62,2146.0,691012.0,557960.0,133052.0
382,3,4,1,,92,1946.0,12532.24,9730.0,2802.24
383,3,4,1,,457,1362.0,438564.0,354120.0,84444.0
384,4,1,3,,182,598.0,6601.92,1794.0,4807.92
385,4,5,1,,274,2907.0,18721.08,14535.0,4186.08
386,4,2,1,,274,2338.0,15056.72,11690.0,3366.72
387,4,3,5,,62,386.0,106536.0,96500.0,10036.0
388,4,4,5,,457,635.0,175260.0,158750.0,16510.0
389,5,3,1,,213,574.5,184989.0,149370.0,35619.0
390,5,2,1,,274,2338.0,15056.72,11690.0,3366.72
391,5,3,1,,335,381.0,122682.0,99060.0,23622.0
392,5,2,1,,335,422.0,135884.0,109720.0,26164.0
393,5,1,5,,366,2134.0,588984.0,533500.0,55484.0
394,5,5,5,,92,808.0,223008.0,202000.0,21008.0
395,6,1,1,,274,708.0,13027.2,7080.0,5947.2
396,6,5,1,,274,2907.0,18721.08,14535.0,4186.08
397,6,2,1,,274,1366.0,25134.4,13660.0,11474.4
398,6,4,5,,274,2460.0,678960.0,615000.0,63960.0
399,6,2,1,,427,1520.0,27968.0,15200.0,12768.0
400,6,2,2,,457,711.0,9811.8,7110.0,2701.8
401,6,4,3,,92,1375.0,15180.0,4125.0,11055.0
402,6,4,5,,457,635.0,175260.0,158750.0,16510.0
403,5,5,1,,304,436.5,8031.6,4365.0,3666.6
404,1,1,5,,274,1094.0,298662.0,273500.0,25162.0
405,1,4,3,,31,367.0,4007.64,1101.0,2906.64
406,2,1,5,,213,3802.5,1038082.5,950625.0,87457.5
407,2,3,1,,243,1666.0,530621.0,433160.0,97461.0
408,2,3,5,,1,322.0,87906.0,80500.0,7406.0
409,2,1,3,,427,2321.0,25345.32,6963.0,18382.32
410,2,3,4,,62,1857.0,211233.75,222840.0,-11606.25
411,2,1,1,,92,1611.0,10262.07,8055.0,2207.07
412,2,5,4,,457,2797.0,318158.75,335640.0,-17481.25
413,2,2,5,,92,334.0,91182.0,83500.0,7682.0
414,3,4,5,,123,2565.0,700245.0,641250.0,58995.0
415,3,4,1,,123,2417.0,769814.5,628420.0,141394.5
416,3,5,2,,213,3675.0,50163.75,36750.0,13413.75
417,3,1,5,,274,1094.0,298662.0,273500.0,25162.0
418,3,3,2,,396,1227.0,16748.55,12270.0,4478.55
419,3,4,3,,31,367.0,4007.64,1101.0,2906.64
420,3,3,5,,427,1324.0,361452.0,331000.0,30452.0
421,3,2,3,,62,1775.0,19383.0,5325.0,14058.0
422,3,5,4,,457,2797.0,318158.75,335640.0,-17481.25
423,4,4,2,,243,245.0,3344.25,2450.0,894.25
424,4,1,5,,304,3793.5,1035625.5,948375.0,87250.5
425,4,2,1,,304,1307.0,416279.5,339820.0,76459.5
426,4,1,4,,366,567.0,64496.25,68040.0,-3543.75
427,4,4,4,,366,2110.0,240012.5,253200.0,-13187.5
428,4,1,1,,396,1269.0,404176.5,329940.0,74236.5
429,5,5,3,,123,1956.0,21359.52,5868.0,15491.52
430,5,2,5,,154,2659.0,725907.0,664750.0,61157.0
431,5,5,1,,213,1351.5,430452.75,351390.0,79062.75
432,5,2,3,,243,880.0,9609.6,2640.0,6969.6
433,5,5,5,,366,1867.0,509691.0,466750.0,42941.0
434,5,3,3,,1,2234.0,24395.28,6702.0,17693.28
435,5,3,2,,396,1227.0,16748.55,12270.0,4478.55
436,5,4,4,,427,877.0,99758.75,105240.0,-5481.25
437,6,5,1,,366,2071.0,659613.5,538460.0,121153.5
438,6,1,1,,396,1269.0,404176.5,329940.0,74236.5
439,6,2,2,,62,970.0,13240.5,9700.0,3540.5
440,6,4,1,,427,1694.0,30830.8,16940.0,13890.8
441,1,2,1,,243,663.0,12066.6,6630.0,5436.6
442,1,1,1,,304,819.0,5217.03,4095.0,1122.03
443,1,2,3,,366,1580.0,17253.6,4740.0,12513.6
444,1,4,1,,457,521.0,3318.77,2605.0,713.77
445,3,5,1,,182,973.0,17708.6,9730.0,7978.6
446,3,4,1,,274,1038.0,18891.6,10380.0,8511.6
447,3,2,1,,396,360.0,2293.2,1800.0,493.2
448,4,3,3,,182,1967.0,21479.64,5901.0,15578.64
449,4,4,2,,213,2628.0,35872.2,26280.0,9592.2
450,5,2,1,,396,360.0,2293.2,1800.0,493.2
